Top queries,Clicks,Impressions,CTR,Position
lost street,8,15,53.33%,5.93
history of brunei,0,3,0%,91
germany background,0,1,0%,60
blind street,0,1,0%,64
brunei empire,0,1,0%,69
brunei sultanate history,0,1,0%,89
how long has nigeria been a country,0,1,0%,92
